cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3
0,0,0,54,50,2,74,50,70,54.0,66,,
0,0,0,54,50,2,62,30,54,30.0,D,,
0,0,0,54,50,3,58,22,54,22.0,54,22.0,54
0,0,0,54,50,2,86,34,70,54.0,A,,
0,0,0,54,50,2,62,30,62,30.0,D,,
0,1,0,90,78,1,90,34,D,,,,
0,1,0,90,78,1,94,66,D,,,,
0,1,0,90,78,1,98,90,A,,,,
0,1,0,90,78,3,90,46,90,58.0,90,62.0,D
0,1,0,90,78,2,90,86,90,86.0,D,,
0,1,0,90,78,2,94,50,94,62.0,D,,
0,1,0,90,78,2,90,42,90,50.0,D,,
0,1,0,90,78,2,98,54,94,62.0,D,,
0,1,0,90,78,3,94,62,94,62.0,90,74.0,90
0,1,0,90,78,1,94,14,D,,,,
0,2,0,74,34,2,94,26,74,26.0,D,,
0,2,0,74,34,1,74,54,D,,,,
0,2,0,74,34,1,74,10,D,,,,
0,2,0,74,34,3,94,42,90,54.0,86,58.0,74
0,2,0,74,34,1,86,18,D,,,,
0,2,0,74,34,3,74,54,74,54.0,74,54.0,74
0,2,0,74,34,3,78,62,78,62.0,78,62.0,74
0,2,0,74,34,2,94,18,74,18.0,74,,
0,3,0,54,78,1,90,26,D,,,,
0,3,0,54,78,3,54,14,54,14.0,54,14.0,D
0,3,0,54,78,3,58,22,54,22.0,54,22.0,54
0,3,0,54,78,3,98,10,98,10.0,54,18.0,D
0,3,0,54,78,2,98,78,98,86.0,A,,
0,4,0,90,86,3,98,14,94,26.0,90,26.0,D
0,4,0,90,86,3,98,22,98,22.0,90,26.0,90
0,4,0,90,86,2,98,42,98,58.0,D,,
0,5,0,34,50,3,42,10,34,10.0,34,10.0,D
0,5,0,34,50,2,74,10,38,18.0,34,,
0,6,0,98,74,1,98,22,D,,,,
0,6,0,98,74,3,98,94,98,94.0,98,94.0,98
0,6,0,98,74,1,98,74,98,,,,
0,6,0,98,74,1,98,10,D,,,,
0,6,0,98,74,3,98,46,98,78.0,98,78.0,D
0,6,0,98,74,2,98,42,98,70.0,D,,
0,6,0,98,74,2,98,46,98,62.0,D,,
0,6,0,98,74,1,98,14,D,,,,
0,6,0,98,74,2,98,30,98,38.0,D,,
0,6,0,98,74,1,98,30,D,,,,
0,6,0,98,74,1,98,26,D,,,,
0,6,0,98,74,2,98,22,98,38.0,98,,
0,6,0,98,74,2,98,18,98,66.0,D,,
0,6,0,98,74,1,98,38,D,,,,
0,7,0,90,86,1,94,30,D,,,,
0,7,0,90,86,2,98,38,90,82.0,D,,
0,7,0,90,86,1,98,18,D,,,,
0,7,0,90,86,3,98,70,90,70.0,90,70.0,D
0,7,0,90,86,3,98,54,94,58.0,90,66.0,D
0,7,0,90,86,1,90,50,D,,,,
0,7,0,90,86,2,90,38,90,58.0,D,,
0,7,0,90,86,3,98,14,98,82.0,98,82.0,94
0,7,0,90,86,3,98,50,90,70.0,90,74.0,D
0,7,0,90,86,2,94,74,90,74.0,D,,
0,7,0,90,86,2,90,30,90,66.0,D,,
0,7,0,90,86,1,90,18,D,,,,
0,7,0,90,86,3,94,66,94,70.0,94,70.0,D
0,8,0,90,78,1,90,46,D,,,,
0,8,0,90,78,1,90,14,D,,,,
0,8,0,90,78,1,90,10,D,,,,
0,8,0,90,78,2,90,54,90,62.0,D,,
0,8,0,90,78,3,98,26,94,66.0,94,74.0,94
0,8,0,90,78,1,98,78,D,,,,
0,8,0,90,78,1,98,14,D,,,,
0,8,0,90,78,2,98,34,90,74.0,D,,
0,8,0,90,78,1,98,38,D,,,,
0,8,0,90,78,3,94,58,94,70.0,90,70.0,90
0,8,0,90,78,2,94,22,94,22.0,D,,
0,8,0,90,78,2,94,38,94,50.0,D,,
0,9,0,54,62,1,86,30,58,,,,
0,9,0,54,62,3,94,54,66,54.0,66,54.0,A
0,9,0,54,62,1,58,18,D,,,,
0,9,0,54,62,2,74,10,54,10.0,D,,
0,9,0,54,62,3,70,46,70,46.0,62,46.0,54
0,9,0,54,62,1,74,18,D,,,,
0,10,0,50,78,2,82,34,74,46.0,66,,
0,10,0,50,78,1,62,22,D,,,,
0,10,0,50,78,1,58,34,50,,,,
0,10,0,50,78,1,90,42,78,,,,
0,11,0,94,94,1,94,14,94,,,,
0,11,0,94,94,2,94,10,94,14.0,94,,
0,11,0,94,94,1,94,62,D,,,,
0,11,0,94,94,2,98,26,94,26.0,D,,
0,11,0,94,94,3,98,22,98,26.0,98,26.0,94
0,11,0,94,94,1,94,30,D,,,,
0,11,0,94,94,3,98,22,94,30.0,94,42.0,D
0,11,0,94,94,1,94,34,D,,,,
0,11,0,94,94,1,94,46,94,,,,
0,11,0,94,94,1,94,10,D,,,,
0,12,0,82,66,1,86,18,D,,,,
0,12,0,82,66,3,94,50,86,62.0,86,62.0,82
0,12,0,82,66,1,82,22,D,,,,
0,12,0,82,66,2,86,46,82,50.0,D,,
0,12,0,82,66,2,86,34,86,66.0,86,,
0,12,0,82,66,3,82,26,82,30.0,82,30.0,D
0,12,0,82,66,1,94,18,D,,,,
0,12,0,82,66,2,98,10,86,18.0,D,,
0,12,0,82,66,3,86,42,82,62.0,82,62.0,82
0,12,0,82,66,2,90,18,82,30.0,D,,
0,12,0,82,66,2,94,14,82,78.0,D,,
0,12,0,82,66,2,86,18,82,18.0,82,,
0,13,0,98,94,3,98,30,98,38.0,98,42.0,D
0,13,0,98,94,2,98,38,98,46.0,D,,
0,13,0,98,94,2,98,26,98,42.0,D,,
0,13,0,98,94,1,98,10,98,,,,
0,13,0,98,94,2,98,30,98,30.0,98,,
0,13,0,98,94,2,98,14,98,34.0,D,,
0,13,0,98,94,2,98,14,98,26.0,98,,
0,13,0,98,94,1,98,10,D,,,,
0,13,0,98,94,3,98,58,98,62.0,98,62.0,D
0,13,0,98,94,1,98,26,D,,,,
0,13,0,98,94,1,98,26,D,,,,
0,13,0,98,94,1,98,18,D,,,,
0,14,0,98,78,1,98,62,D,,,,
0,14,0,98,78,2,98,10,98,18.0,D,,
0,14,0,98,78,3,98,86,98,86.0,98,94.0,98
0,14,0,98,78,3,98,18,98,50.0,98,62.0,98
0,14,0,98,78,3,98,66,98,74.0,98,94.0,D
0,14,0,98,78,1,98,46,D,,,,
0,14,0,98,78,1,98,26,D,,,,
0,14,0,98,78,1,98,54,D,,,,
0,14,0,98,78,1,98,50,D,,,,
0,14,0,98,78,1,98,70,D,,,,
0,14,0,98,78,1,98,10,D,,,,
0,14,0,98,78,2,98,46,98,46.0,D,,
0,14,0,98,78,1,98,30,D,,,,
0,14,0,98,78,3,98,46,98,46.0,98,58.0,98
0,15,1,38,74,1,42,10,D,,,,
0,15,1,38,74,2,62,30,42,30.0,D,,
0,15,1,38,74,3,58,22,50,22.0,38,22.0,D
0,15,1,38,74,3,66,34,42,34.0,38,34.0,38
0,15,1,38,74,3,70,42,62,42.0,58,46.0,A
0,15,1,38,74,2,38,10,38,10.0,D,,
0,16,1,58,38,2,94,22,94,54.0,D,,
0,16,1,58,38,2,66,34,62,42.0,58,,
0,16,1,58,38,1,78,10,78,,,,
0,16,1,58,38,3,70,10,66,10.0,58,10.0,D
0,16,1,58,38,1,78,22,74,,,,
0,17,1,70,74,3,70,18,70,34.0,70,66.0,D
0,17,1,70,74,1,82,66,70,,,,
0,17,1,70,74,1,70,66,D,,,,
0,17,1,70,74,3,74,26,70,54.0,70,54.0,70
