cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3,Vs_min,Vs_max,flag_add_Vsmax,Vs_idx
0,1910,127,90,46,3,90,46,90,50.0,90,54.0,D,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,90,42,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,2,90,34,90,46.0,90,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,98,10,94,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,90,70,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,94,54,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,90,70,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,90,14,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,98,46,94,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,94,54,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,94,46,D,,,,,70.0,90.0,0.0,1910.0
0,1910,127,90,46,1,90,34,D,,,,,70.0,90.0,0.0,1910.0
0,2949,196,46,66,1,78,26,50,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,74,18,46,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,3,74,26,66,50.0,62,58.0,A,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,70,30,D,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,94,30,46,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,98,22,62,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,54,30,D,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,1,58,30,50,,,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,2,62,50,62,58.0,A,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,2,58,34,46,42.0,D,,,42.0,46.0,0.0,2949.0
0,2949,196,46,66,3,86,66,78,70.0,78,70.0,A,42.0,46.0,0.0,2949.0
0,2949,196,46,66,2,74,58,70,58.0,A,,,42.0,46.0,0.0,2949.0
1,3353,525,46,54,1,74,14,58,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,2,70,30,58,38.0,50,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,14,58,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,2,74,22,58,22.0,50,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,54,A,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,2,70,14,58,22.0,50,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,34,58,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,10,58,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,26,58,,,,,38.0,50.0,0.0,7876.0
1,3353,525,46,54,1,74,62,A,,,,,38.0,50.0,0.0,7876.0
1,3710,549,74,62,1,86,14,82,,,,,70.0,74.0,0.0,8233.0
1,3710,549,74,62,1,86,46,78,,,,,70.0,74.0,0.0,8233.0
1,3710,549,74,62,1,86,70,78,,,,,70.0,74.0,0.0,8233.0
1,3710,549,74,62,1,86,14,78,,,,,70.0,74.0,0.0,8233.0
1,3710,549,74,62,3,86,26,78,42.0,74,62.0,74,70.0,74.0,0.0,8233.0
0,1043,69,66,62,3,90,42,74,42.0,70,66.0,70,66.0,66.0,0.0,1043.0
0,1043,69,66,62,3,74,54,74,54.0,70,54.0,D,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,78,42,74,46.0,74,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,98,18,70,62.0,D,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,1,66,38,D,,,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,3,90,22,86,22.0,86,22.0,86,66.0,66.0,0.0,1043.0
0,1043,69,66,62,3,82,66,70,66.0,70,66.0,D,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,94,42,74,42.0,66,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,86,38,82,46.0,70,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,1,82,66,A,,,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,70,22,66,30.0,D,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,1,98,30,90,,,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,2,98,42,86,46.0,82,,,66.0,66.0,0.0,1043.0
0,1043,69,66,62,1,94,18,66,,,,,66.0,66.0,0.0,1043.0
1,3200,515,86,82,3,90,74,86,74.0,86,74.0,86,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,90,78,90,78.0,90,78.0,D,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,94,54,90,74.0,86,78.0,86,78.0,86.0,0.0,7723.0
1,3200,515,86,82,1,90,66,D,,,,,78.0,86.0,0.0,7723.0
1,3200,515,86,82,2,90,62,90,66.0,D,,,78.0,86.0,0.0,7723.0
1,3200,515,86,82,2,94,54,90,74.0,D,,,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,94,26,90,66.0,86,70.0,D,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,90,38,86,50.0,86,50.0,D,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,90,26,90,30.0,90,42.0,90,78.0,86.0,0.0,7723.0
1,3200,515,86,82,2,94,42,90,50.0,D,,,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,94,18,90,26.0,90,26.0,90,78.0,86.0,0.0,7723.0
1,3200,515,86,82,2,90,46,86,62.0,D,,,78.0,86.0,0.0,7723.0
1,3200,515,86,82,3,90,34,90,34.0,90,42.0,90,78.0,86.0,0.0,7723.0
1,2963,499,90,30,3,94,34,90,58.0,90,58.0,90,58.0,90.0,0.0,7486.0
1,2963,499,90,30,2,94,14,90,22.0,D,,,58.0,90.0,0.0,7486.0
1,2963,499,90,30,2,94,18,94,22.0,D,,,58.0,90.0,0.0,7486.0
1,2963,499,90,30,2,94,10,90,18.0,D,,,58.0,90.0,0.0,7486.0
1,2963,499,90,30,1,94,30,94,,,,,58.0,90.0,0.0,7486.0
1,622,343,90,82,3,94,10,94,18.0,90,34.0,90,86.0,90.0,0.0,5145.0
1,622,343,90,82,1,94,86,D,,,,,86.0,90.0,0.0,5145.0
1,622,343,90,82,1,94,50,D,,,,,86.0,90.0,0.0,5145.0
1,622,343,90,82,3,94,30,94,74.0,94,78.0,D,86.0,90.0,0.0,5145.0
1,622,343,90,82,1,94,22,D,,,,,86.0,90.0,0.0,5145.0
