cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3,Vs_min,Vs_max,flag_add_Vsmax,Vs_idx
0,2907,193,82,38,1,82,38,D,,,,,66.0,82.0,0.0,2907.0
0,2907,193,82,38,2,94,14,86,66.0,86,,,66.0,82.0,0.0,2907.0
0,2907,193,82,38,1,98,34,D,,,,,66.0,82.0,0.0,2907.0
0,2907,193,82,38,1,82,10,D,,,,,66.0,82.0,0.0,2907.0
0,2907,193,82,38,1,86,10,D,,,,,66.0,82.0,0.0,2907.0
2,4102,869,98,62,1,98,90,98,,,,,90.0,98.0,0.0,13025.0
0,3968,264,78,82,3,90,10,86,10.0,86,10.0,86,62.0,78.0,0.0,3968.0
0,3968,264,78,82,1,94,34,D,,,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,2,90,10,82,10.0,D,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,1,78,62,D,,,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,1,82,30,82,,,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,1,86,38,D,,,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,2,90,26,90,26.0,D,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,1,86,18,D,,,,,62.0,78.0,0.0,3968.0
0,3968,264,78,82,3,94,22,90,38.0,82,42.0,82,62.0,78.0,0.0,3968.0
1,343,324,62,54,1,78,18,D,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,1,82,14,66,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,1,82,38,74,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,1,82,10,62,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,1,82,26,D,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,1,78,46,D,,,,,46.0,62.0,0.0,4866.0
1,343,324,62,54,2,78,14,70,34.0,D,,,46.0,62.0,0.0,4866.0
2,1504,696,26,54,1,46,26,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,46,26,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,2,74,22,50,26.0,A,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,54,30,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,90,30,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,78,14,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,46,26,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,94,26,A,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,54,10,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,54,14,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,94,14,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,50,10,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,42,14,D,,,,,14.0,26.0,0.0,10427.0
2,1504,696,26,54,1,86,14,D,,,,,14.0,26.0,0.0,10427.0
0,4435,295,66,70,3,70,18,66,62.0,66,62.0,66,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,98,62,70,,,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,82,46,66,,,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,2,78,10,78,50.0,D,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,86,62,74,,,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,86,62,74,,,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,2,90,50,82,58.0,74,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,86,10,D,,,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,2,98,26,82,38.0,74,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,3,82,26,82,50.0,82,62.0,70,62.0,66.0,0.0,4435.0
0,4435,295,66,70,2,78,46,78,62.0,66,,,62.0,66.0,0.0,4435.0
0,4435,295,66,70,1,78,54,D,,,,,62.0,66.0,0.0,4435.0
0,2529,168,82,66,2,82,10,82,34.0,D,,,78.0,82.0,0.0,2529.0
0,2529,168,82,66,3,82,26,82,30.0,82,58.0,D,78.0,82.0,0.0,2529.0
0,2529,168,82,66,3,86,58,86,70.0,82,70.0,D,78.0,82.0,0.0,2529.0
0,2529,168,82,66,2,94,50,90,78.0,82,,,78.0,82.0,0.0,2529.0
0,2529,168,82,66,1,86,34,D,,,,,78.0,82.0,0.0,2529.0
0,2529,168,82,66,3,94,90,94,90.0,94,90.0,A,78.0,82.0,0.0,2529.0
0,2529,168,82,66,1,82,22,D,,,,,78.0,82.0,0.0,2529.0
0,2529,168,82,66,3,86,78,86,78.0,82,78.0,82,78.0,82.0,0.0,2529.0
0,2529,168,82,66,3,90,46,90,62.0,82,70.0,D,78.0,82.0,0.0,2529.0
0,2529,168,82,66,1,94,62,D,,,,,78.0,82.0,0.0,2529.0
0,2529,168,82,66,1,82,58,D,,,,,78.0,82.0,0.0,2529.0
0,188,12,98,78,2,98,46,98,46.0,D,,,86.0,98.0,0.0,188.0
0,188,12,98,78,2,98,58,98,66.0,D,,,86.0,98.0,0.0,188.0
0,188,12,98,78,3,98,22,98,38.0,98,66.0,D,86.0,98.0,0.0,188.0
0,188,12,98,78,1,98,42,D,,,,,86.0,98.0,0.0,188.0
