cluster_id,anon_item_id,anon_slr_id,vs,vb,rounds_total,s0,b1,s1,b2,s2,b3,s3,Vs_min,Vs_max,flag_add_Vsmax,Vs_idx
1,3353,525,74,62,3,86,38,82,54.0,78,70.0,74,70.0,74.0,0.0,7875.0
1,3353,525,74,62,2,86,18,78,42.0,D,,,70.0,74.0,0.0,7875.0
1,3353,525,74,62,2,86,26,78,34.0,D,,,70.0,74.0,0.0,7875.0
1,3353,525,74,62,1,86,50,78,,,,,70.0,74.0,0.0,7875.0
1,3353,525,74,62,3,86,38,78,42.0,78,42.0,78,70.0,74.0,0.0,7875.0
1,3353,525,74,62,3,86,50,78,66.0,78,66.0,D,70.0,74.0,0.0,7875.0
1,3353,525,74,62,3,86,10,82,34.0,78,62.0,D,70.0,74.0,0.0,7875.0
1,3353,525,74,62,3,86,46,78,70.0,78,70.0,78,70.0,74.0,0.0,7875.0
1,3353,525,74,62,1,86,70,78,,,,,70.0,74.0,0.0,7875.0
1,4067,573,82,18,1,90,22,82,,,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,1,90,50,90,,,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,3,90,58,86,62.0,82,62.0,D,70.0,82.0,0.0,8589.0
1,4067,573,82,18,1,90,66,D,,,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,2,90,38,86,70.0,D,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,1,90,10,D,,,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,2,90,30,82,38.0,D,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,2,90,18,90,26.0,D,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,1,90,42,D,,,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,2,90,22,86,22.0,D,,,70.0,82.0,0.0,8589.0
1,4067,573,82,18,3,90,66,82,66.0,82,66.0,82,70.0,82.0,0.0,8589.0
1,4067,573,82,18,2,90,10,90,10.0,82,,,70.0,82.0,0.0,8589.0
1,3190,514,82,70,2,90,74,86,78.0,D,,,82.0,82.0,0.0,7712.0
1,3190,514,82,70,3,90,42,86,78.0,86,78.0,86,82.0,82.0,0.0,7712.0
1,3190,514,82,70,3,90,22,86,78.0,86,82.0,D,82.0,82.0,0.0,7712.0
1,3190,514,82,70,3,90,74,86,74.0,82,74.0,D,82.0,82.0,0.0,7712.0
1,3190,514,82,70,2,90,34,86,66.0,82,,,82.0,82.0,0.0,7712.0
1,3190,514,82,70,3,90,38,86,66.0,86,66.0,D,82.0,82.0,0.0,7712.0
1,4261,586,86,78,2,94,34,90,46.0,D,,,86.0,86.0,0.0,8783.0
1,4261,586,86,78,2,94,70,90,70.0,D,,,86.0,86.0,0.0,8783.0
1,4261,586,86,78,3,94,14,90,30.0,90,50.0,86,86.0,86.0,0.0,8783.0
1,4261,586,86,78,3,94,70,90,70.0,90,70.0,90,86.0,86.0,0.0,8783.0
1,4261,586,86,78,2,94,78,90,86.0,D,,,86.0,86.0,0.0,8783.0
1,1641,411,18,22,1,58,14,26,,,,,14.0,26.0,0.0,6163.0
0,4435,295,90,66,3,98,30,98,46.0,94,46.0,90,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,98,38,94,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,3,98,10,98,18.0,94,22.0,90,86.0,90.0,0.0,4435.0
0,4435,295,90,66,2,98,70,90,70.0,D,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,94,74,D,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,2,98,14,90,86.0,D,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,90,46,D,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,90,42,D,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,94,34,D,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,3,98,74,90,78.0,90,78.0,D,86.0,90.0,0.0,4435.0
0,4435,295,90,66,2,94,10,94,10.0,D,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,98,34,90,,,,,86.0,90.0,0.0,4435.0
0,4435,295,90,66,1,98,22,D,,,,,86.0,90.0,0.0,4435.0
1,1404,395,94,42,1,98,82,98,,,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,3,98,34,94,62.0,94,62.0,D,82.0,94.0,0.0,5926.0
1,1404,395,94,42,3,98,18,98,26.0,98,34.0,98,82.0,94.0,0.0,5926.0
1,1404,395,94,42,2,94,26,94,26.0,D,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,1,94,10,D,,,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,1,98,66,98,,,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,1,94,82,D,,,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,1,94,34,D,,,,,82.0,94.0,0.0,5926.0
1,1404,395,94,42,2,94,14,94,38.0,94,,,82.0,94.0,0.0,5926.0
2,642,641,10,26,1,74,38,A,,,,,0.0,34.0,0.0,9609.0
2,642,641,10,26,1,90,34,A,,,,,0.0,34.0,0.0,9609.0
1,2443,464,86,90,3,94,70,90,70.0,86,70.0,86,78.0,86.0,0.0,6965.0
1,2443,464,86,90,3,94,54,90,62.0,86,62.0,86,78.0,86.0,0.0,6965.0
1,2443,464,86,90,2,90,26,86,38.0,D,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,2,90,42,86,78.0,D,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,90,38,D,,,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,2,94,54,90,62.0,D,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,94,78,90,,,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,94,66,90,,,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,90,46,D,,,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,3,90,66,90,66.0,90,66.0,86,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,94,46,90,,,,,78.0,86.0,0.0,6965.0
1,2443,464,86,90,1,94,18,90,,,,,78.0,86.0,0.0,6965.0
0,1584,105,74,46,1,86,70,D,,,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,1,74,18,D,,,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,3,82,70,78,70.0,78,70.0,74,74.0,74.0,0.0,1584.0
0,1584,105,74,46,2,78,62,74,62.0,D,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,1,82,22,74,,,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,2,94,22,90,22.0,86,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,2,86,74,86,82.0,A,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,1,94,74,D,,,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,1,86,30,74,,,,,74.0,74.0,0.0,1584.0
0,1584,105,74,46,2,78,58,74,70.0,D,,,74.0,74.0,0.0,1584.0
0,1941,129,66,86,2,94,14,66,14.0,D,,,62.0,66.0,0.0,1941.0
0,1941,129,66,86,2,74,50,70,62.0,D,,,62.0,66.0,0.0,1941.0
0,1941,129,66,86,1,70,14,70,,,,,62.0,66.0,0.0,1941.0
1,2465,466,70,46,2,86,14,86,14.0,78,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,2,86,22,78,58.0,78,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,1,86,18,86,,,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,1,82,14,D,,,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,1,82,50,78,,,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,2,82,10,78,10.0,70,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,2,86,42,70,50.0,D,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,3,82,18,78,18.0,74,22.0,D,58.0,70.0,0.0,6987.0
1,2465,466,70,46,2,86,38,70,46.0,D,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,3,86,38,86,50.0,86,54.0,78,58.0,70.0,0.0,6987.0
1,2465,466,70,46,1,86,50,74,,,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,2,86,18,86,18.0,D,,,58.0,70.0,0.0,6987.0
1,2465,466,70,46,3,86,14,74,18.0,70,18.0,D,58.0,70.0,0.0,6987.0
2,3735,848,30,66,1,78,66,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,70,30,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,3,30,22,30,22.0,30,26.0,30,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,78,66,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,58,50,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,90,34,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,94,42,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,34,14,D,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,54,10,D,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,86,54,A,,,,,26.0,30.0,0.0,12702.0
2,3735,848,30,66,1,70,10,D,,,,,26.0,30.0,0.0,12702.0
